Source,Target,Type,Id,Label,Weight
430,175,Orienté,326,,1
430,241,Orienté,327,,1
430,262,Orienté,330,,1
430,271,Orienté,333,,1
430,292,Orienté,334,,1
430,308,Orienté,329,,1
430,387,Orienté,328,,1
430,415,Orienté,336,,1
430,510,Orienté,335,,1
431,22,Orienté,349,,1
431,110,Orienté,341,,1
431,147,Orienté,338,,1
431,156,Orienté,348,,1
431,194,Orienté,351,,1
431,204,Orienté,347,,1
431,211,Orienté,350,,1
431,321,Orienté,345,,1
431,323,Orienté,344,,1
431,341,Orienté,342,,1
431,343,Orienté,343,,1
431,454,Orienté,340,,1
431,458,Orienté,339,,1
431,490,Orienté,346,,1
435,7,Orienté,354,,1
435,53,Orienté,364,,1
435,59,Orienté,356,,1
435,81,Orienté,352,,1
435,92,Orienté,355,,1
435,121,Orienté,353,,1
435,132,Orienté,362,,1
435,153,Orienté,365,,1
435,164,Orienté,366,,1
435,214,Orienté,369,,1
435,263,Orienté,358,,1
435,307,Orienté,368,,1
435,314,Orienté,361,,1
435,324,Orienté,367,,1
435,385,Orienté,370,,1
435,415,Orienté,363,,1
435,438,Orienté,359,,1
435,468,Orienté,360,,1
435,475,Orienté,357,,1
444,43,Orienté,382,,1
444,96,Orienté,378,,1
444,103,Orienté,383,,1
444,149,Orienté,381,,1
444,163,Orienté,372,,1
444,200,Orienté,374,,1
444,244,Orienté,375,,1
444,250,Orienté,377,,1
444,258,Orienté,371,,1
444,291,Orienté,385,,1
444,313,Orienté,373,,1
444,345,Orienté,380,,1
444,351,Orienté,384,,1
444,370,Orienté,376,,1
444,504,Orienté,379,,1
445,29,Orienté,391,,1
445,61,Orienté,390,,1
445,126,Orienté,398,,1
445,180,Orienté,393,,1
445,192,Orienté,394,,1
445,195,Orienté,388,,1
445,199,Orienté,399,,1
445,220,Orienté,387,,1
445,226,Orienté,396,,1
445,237,Orienté,401,,1
445,238,Orienté,400,,1
445,253,Orienté,389,,1
445,346,Orienté,395,,1
445,371,Orienté,397,,1
445,428,Orienté,386,,1
445,467,Orienté,392,,1
447,83,Orienté,414,,1
447,98,Orienté,413,,1
447,105,Orienté,403,,1
447,109,Orienté,410,,1
447,193,Orienté,416,,1
447,219,Orienté,411,,1
447,266,Orienté,409,,1
447,285,Orienté,415,,1
447,295,Orienté,404,,1
447,301,Orienté,408,,1
447,441,Orienté,406,,1
447,452,Orienté,402,,1
447,464,Orienté,412,,1
447,475,Orienté,407,,1
447,485,Orienté,405,,1
448,37,Orienté,422,,1
448,70,Orienté,419,,1
448,88,Orienté,426,,1
448,137,Orienté,428,,1
448,139,Orienté,424,,1
448,189,Orienté,427,,1
448,201,Orienté,429,,1
448,208,Orienté,417,,1
448,298,Orienté,418,,1
448,312,Orienté,423,,1
448,367,Orienté,421,,1
448,452,Orienté,430,,1
448,499,Orienté,425,,1
448,502,Orienté,420,,1
456,23,Orienté,439,,1
456,33,Orienté,432,,1
456,49,Orienté,446,,1
456,149,Orienté,440,,1
456,159,Orienté,437,,1
456,181,Orienté,431,,1
456,197,Orienté,441,,1
456,235,Orienté,438,,1
456,253,Orienté,435,,1
456,282,Orienté,443,,1
456,286,Orienté,436,,1
456,341,Orienté,434,,1
456,360,Orienté,442,,1
456,441,Orienté,433,,1
456,476,Orienté,445,,1
456,505,Orienté,444,,1
457,39,Orienté,456,,1
457,47,Orienté,459,,1
457,58,Orienté,449,,1
457,66,Orienté,455,,1
457,91,Orienté,457,,1
457,127,Orienté,452,,1
457,155,Orienté,461,,1
457,203,Orienté,451,,1
457,234,Orienté,453,,1
457,252,Orienté,450,,1
457,253,Orienté,454,,1
457,261,Orienté,448,,1
457,364,Orienté,447,,1
457,404,Orienté,458,,1
457,515,Orienté,460,,1
463,13,Orienté,466,,1
463,14,Orienté,467,,1
463,76,Orienté,463,,1
463,129,Orienté,462,,1
463,230,Orienté,464,,1
463,242,Orienté,465,,1
463,327,Orienté,468,,1
463,434,Orienté,15398,,1
463,481,Orienté,469,,1
469,16,Orienté,472,,1
469,78,Orienté,476,,1
469,190,Orienté,477,,1
469,273,Orienté,479,,1
469,277,Orienté,480,,1
469,299,Orienté,474,,1
469,318,Orienté,475,,1
469,328,Orienté,478,,1
469,372,Orienté,471,,1
469,382,Orienté,473,,1
469,479,Orienté,470,,1
482,27,Orienté,493,,1
482,46,Orienté,491,,1
482,67,Orienté,489,,1
482,104,Orienté,481,,1
482,107,Orienté,487,,1
482,108,Orienté,494,,1
482,115,Orienté,485,,1
482,191,Orienté,492,,1
482,202,Orienté,486,,1
482,319,Orienté,488,,1
482,346,Orienté,495,,1
482,387,Orienté,484,,1
482,388,Orienté,483,,1
482,397,Orienté,490,,1
482,475,Orienté,482,,1
484,12,Orienté,504,,1
484,170,Orienté,497,,1
484,179,Orienté,498,,1
484,212,Orienté,505,,1
484,247,Orienté,501,,1
484,276,Orienté,499,,1
484,317,Orienté,503,,1
484,329,Orienté,500,,1
484,440,Orienté,496,,1
484,514,Orienté,502,,1
486,17,Orienté,516,,1
486,29,Orienté,513,,1
486,36,Orienté,518,,1
486,89,Orienté,517,,1
486,145,Orienté,515,,1
486,239,Orienté,509,,1
486,259,Orienté,506,,1
486,275,Orienté,512,,1
486,342,Orienté,511,,1
486,373,Orienté,508,,1
486,384,Orienté,514,,1
486,389,Orienté,507,,1
486,497,Orienté,510,,1
488,48,Orienté,527,,1
488,115,Orienté,520,,1
488,140,Orienté,528,,1
488,187,Orienté,529,,1
488,209,Orienté,526,,1
488,224,Orienté,535,,1
488,305,Orienté,519,,1
488,330,Orienté,533,,1
488,360,Orienté,534,,1
488,376,Orienté,523,,1
488,377,Orienté,532,,1
488,381,Orienté,530,,1
488,401,Orienté,522,,1
488,414,Orienté,524,,1
488,428,Orienté,521,,1
488,451,Orienté,525,,1
488,472,Orienté,531,,1
493,1,Orienté,547,,1
493,133,Orienté,541,,1
493,148,Orienté,548,,1
493,166,Orienté,539,,1
493,210,Orienté,545,,1
493,235,Orienté,543,,1
493,264,Orienté,542,,1
493,338,Orienté,544,,1
493,385,Orienté,546,,1
493,391,Orienté,540,,1
493,441,Orienté,538,,1
493,503,Orienté,536,,1
493,515,Orienté,537,,1
496,20,Orienté,555,,1
496,104,Orienté,556,,1
496,106,Orienté,559,,1
496,116,Orienté,552,,1
496,134,Orienté,550,,1
496,208,Orienté,551,,1
496,223,Orienté,558,,1
496,266,Orienté,549,,1
496,332,Orienté,553,,1
496,413,Orienté,554,,1
496,426,Orienté,557,,1
496,492,Orienté,560,,1
