Id,Label,Type
510,Yseulys Costes,1
511,Yves Chevillotte,1
512,Yves Gabriel,1
513,Yves Gillet,1
514,Yves Lyon-Caen,1
515,Yves-Thibault de Silguy,1
516,Manfred Bischoff,1
517,Ralph D. Crosby,1
518,Tom Enders,1
519,Hans-Peter Keitel,1
520,Hermann-Josef Lamberti,1
521,Sir John Parker,1
522,Josep Pique i Camps,1
523,Jean-Claude Trichet,1
2,Accor,2
69,Bertrand Meheut,1
5,Air Liquide,2
8,Alain Joly,1
21,Alstom,2
9,Alan Thomson,1
41,Arcelor-Mittal,2
38,Antoine Spillmann,1
44,AXA,2
32,Anthony Hamilton,1
71,BNP Paribas,2
48,Baudouin Prot,1
72,Bouygues,2
29,Anne-Marie Idrac,1
80,Capgemini,2
65,Bernard Liautaud,1
87,Carrefour,2
22,Amaury de Seze,1
113,Credit agricole,2
57,Bernard de Dree,1
120,Danone,2
51,Benoit  Potier,1
142,EADS,2
27,Anne Lauvergeon,1
143,EDF,2
18,Alexandre Grillat,1
154,Essilor International,2
4,Aicha Mokdahi,1
160,France Telecom,2
60,Bernard Dufau,1
183,GDF Suez,2
6,Alain Beullier,1
184,Gemalto,2
15,Alex Mandl,1
287,L'Oreal,2
31,Annette Roux,1
288,Lafarge SA,2
74,Bruno Lafont,1
297,Legrand,2
25,Angeles Garcia-Poveda,1
311,LVMH,2
10,Albert Frere,1
353,Michelin,2
45,Barbara Dalibard,1
402,Pernod-Ricard,2
19,Alexandre Ricard,1
430,PPR,2
3,Aditya Mittal,1
431,Publicis Groupe,2
110,Claudine Bienaime,1
435,Renault,2
7,Alain J.-P. Belda,1
444,Safran,2
43,Astrid Milsan,1
445,Saint-Gobain,2
61,Bernard Gautier,1
447,SANOFI,2
83,Carole Piwnica,1
448,Schneider Electric,2
37,Antoine Gosset Grainville,1
456,Societe Generale,2
23,Ana Maria Llopis Rivas,1
457,Solvay,2
39,Anton van Rossum,1
463,STMicroelectronics,2
13,Alessandro Ovi,1
469,Technip,2
16,Alexandra Bech Gjorv,1
482,TOTAL,2
46,Barbara Kux,1
484,Unibail-Rodamco,2
12,Alec Pelmore,1
486,Vallourec,2
17,Alexandra Schaapveld,1
488,Veolia Environnement,2
115,Daniel Bouton,1
493,Vinci,2
1,Abdul Hamid Janahi,1
496,Vivendi,2
20,Aliza Jabes,1
